filename,microcode, Error
Tencent_LC2092600000C_2022-01-17-09-55,revision=0x7000020,"[   24.458915] ERST: Error Record Serialization Table (ERST) support is initialized.
[   25.380525] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_FX21A260008A2_2022-01-08-00-56,,
Tencent_LC21A1090005K_2021-12-30-14-26,revision=0xd0002c1,"[    7.078650] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A199000DK_2022-01-08-00-56,revision=0xd0002c1,"[    7.076322] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.084208] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.072964] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.082769] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C169000BG_2022-01-17-09-54,,
Tencent_LC21A24900034_2022-01-17-09-55,,
Tencent_LC21820900036_2022-01-08-00-54,revision=0xd0002c1,"[   22.241000] ERST: Error Record Serialization Table (ERST) support is initialized.
[   19.229427] ERST: Error Record Serialization Table (ERST) support is initialized.
[   19.207116] ERST: Error Record Serialization Table (ERST) support is initialized.
[   20.229271] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A1490009M_2022-01-08-02-16,,
Tencent_LC21B2190000H_2022-01-08-02-12,revision=0x7000020,"[    8.206367] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.210925] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.210905] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.207818] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2131690002Q_2022-01-07-17-23,revision=0xd000280,"[    6.954416] ERST: Error Record Serialization Table (ERST) support is initialized.
[    6.947997] ERST: Error Record Serialization Table (ERST) support is initialized.
[    6.958649] ERST: Error Record Serialization Table (ERST) support is initialized.
[    6.946453] ERST: Error Record Serialization Table (ERST) support is initialized.
[[32m  OK  [174523.064445] infiniband mlx5_1: mlx5_ib_test_wc:391:(pid 1779): Error -5 while trying to test write-combining support
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    6.959147] ERST: Error Record Serialization Table (ERST) support is initialized.
[   21.850873] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C2290000H_2022-01-17-09-53,revision=0x7000020,"[    8.243746] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_FX21C150005ED_2022-01-07-17-23,revision=0xd0002c1,"[   12.659363] ERST: Error Record Serialization Table (ERST) support is initialized.
[   12.664084] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A0690011A_2022-01-08-02-16,,
Tencent_LC21A21900026_2022-01-08-00-56,,
Tencent_LC21C189000WK_2022-01-17-09-55,revision=0x7000020,"[    8.258504] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.250110] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2152580000G_2022-01-08-02-16,revision=0x7000020,"[    8.244590] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C2190002D_2022-01-17-09-55,revision=0x7000020,"[    8.258637] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.252634] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.272409] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.261365] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C129000A9_2022-01-08-02-16,revision=0x7000020,"[    8.218626] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21B049000G2_2022-01-07-17-23,revision=0xd0002c1,"[    7.133667] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    7.139281] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21405900006_2022-01-17-09-55,revision=0xd000250,"[    8.905039] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.911449] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.913361] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A13900003_2022-01-08-02-16,,
Tencent_LC21B2490007N_2022-01-08-02-16,revision=0x7000020,"[    8.213033] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21B0390007Y_2022-01-17-09-55,,
Tencent_FX21B12000446_2022-01-17-09-55,revision=0x7000020,"[    9.536559] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21B29900015_2022-01-07-17-18,,
Tencent_LC21B2190001Y_2022-01-17-09-50,revision=0x7000020,"[    8.213330] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.199580] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C15800056_2022-01-17-09-55,revision=0xd0002c1,"[   12.662760] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[   12.648496] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21523900016_2022-01-17-09-55,revision=0xd000250,"[   23.835046] ERST: Error Record Serialization Table (ERST) support is initialized.
[   23.822003] ERST: Error Record Serialization Table (ERST) support is initialized.
[   22.240817] ERST: Error Record Serialization Table (ERST) support is initialized.
[   23.850368] ERST: Error Record Serialization Table (ERST) support is initialized.
[   23.834179] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2182890000L_2022-01-08-00-56,revision=0xd0002c1,"[   25.559007] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2192090009A_2022-01-17-09-53,revision=0x7000020,"[    8.220332] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.204509] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.238376] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC20A0400001B_2022-01-17-09-55,revision=0x7000020,"[   17.441416] ERST: Error Record Serialization Table (ERST) support is initialized.
[   17.630308] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_FX21B05000227_2021-12-29-21-43,,
